Ticker,AAPL,HDFCBANK.NS,JNJ,JPM,RELIANCE.NS,SUNPHARMA.NS,TCS.NS,XOM,^DJI,^GSPC,^IXIC,^NSEI,^VIX
AAPL,1.0,0.07996160407487102,0.1013825009689335,0.08801673615607937,0.03191415339792277,-0.036705505142054125,0.14382799744434455,-0.16496564545072093,0.2869908823266772,0.2549736039085414,0.2222055525651169,0.0485643979488204,-0.18508999772443407
HDFCBANK.NS,0.07996160407487102,1.0,-0.035842633227279326,0.17195563445139075,0.3877853062385748,0.06769583757144922,0.1797891761075724,-0.235953341540136,0.12292062537939076,0.1511372410412609,0.13027239787963854,0.7998706839455197,-0.13894112918384088
JNJ,0.1013825009689335,-0.035842633227279326,1.0,0.1378675346322482,-0.010686111951790445,-0.0628323697694866,0.036612930754106966,0.11452704253292607,0.14711465019865577,-0.14065241580792154,-0.29272044535766667,-0.03162798822186977,0.12350959761025661
JPM,0.08801673615607937,0.17195563445139075,0.1378675346322482,1.0,0.14861980120150023,0.04914735634251134,0.024149068768030055,-0.15756741542695626,0.6289315477809252,0.38544375599461234,0.23358594074793468,0.15572238368043567,-0.31456486267051165
RELIANCE.NS,0.03191415339792277,0.3877853062385748,-0.010686111951790445,0.14861980120150023,1.0,0.167565157747027,0.14456031868172917,-0.24112400065561174,0.10603214038651154,0.10565021489410649,0.0970959936711025,0.5924489125071306,-0.12586884565075301
SUNPHARMA.NS,-0.036705505142054125,0.06769583757144922,-0.0628323697694866,0.04914735634251134,0.167565157747027,1.0,0.25050465599961824,0.034618158963533464,-0.020696371822834743,0.012748992666299114,0.019829121250896534,0.24106986203384997,-0.017066058123456924
TCS.NS,0.14382799744434455,0.1797891761075724,0.036612930754106966,0.024149068768030055,0.14456031868172917,0.25050465599961824,1.0,0.07196562501171093,0.10584194547317831,-0.024046206257717452,-0.07798654367146116,0.3570227807780928,0.08551382086216645
XOM,-0.16496564545072093,-0.235953341540136,0.11452704253292607,-0.15756741542695626,-0.24112400065561174,0.034618158963533464,0.07196562501171093,1.0,-0.44299394573447837,-0.4795898812526048,-0.49161547890435003,-0.30267139167964996,0.35481034104248105
^DJI,0.2869908823266772,0.12292062537939076,0.14711465019865577,0.6289315477809252,0.10603214038651154,-0.020696371822834743,0.10584194547317831,-0.44299394573447837,1.0,0.8356565690196258,0.6911569754324979,0.17550308702002596,-0.6792157351401277
^GSPC,0.2549736039085414,0.1511372410412609,-0.14065241580792154,0.38544375599461234,0.10565021489410649,0.012748992666299114,-0.024046206257717452,-0.4795898812526048,0.8356565690196258,1.0,0.9634625037451237,0.16902567239116004,-0.79921705368036
^IXIC,0.2222055525651169,0.13027239787963854,-0.29272044535766667,0.23358594074793468,0.0970959936711025,0.019829121250896534,-0.07798654367146116,-0.49161547890435003,0.6911569754324979,0.9634625037451237,1.0,0.14238870465275097,-0.7628119068247288
^NSEI,0.0485643979488204,0.7998706839455197,-0.03162798822186977,0.15572238368043567,0.5924489125071306,0.24106986203384997,0.3570227807780928,-0.30267139167964996,0.17550308702002596,0.16902567239116004,0.14238870465275097,1.0,-0.10972832602877793
^VIX,-0.18508999772443407,-0.13894112918384088,0.12350959761025661,-0.31456486267051165,-0.12586884565075301,-0.017066058123456924,0.08551382086216645,0.35481034104248105,-0.6792157351401277,-0.79921705368036,-0.7628119068247288,-0.10972832602877793,1.0
